index,duration,total_builds
4,0,3
8,0,3
12,0,3
16,0,3
20,0,3
24,0,3
28,0,3
32,0,3
36,0,3
40,0,1
44,0,3
48,0,3
52,0,3
56,0,3
60,0,3
64,0,3
68,0,3
72,0,3
76,0,3
80,0,3
84,0,3
88,0,1
92,0,2
96,0,3
100,0,3
104,0,3
108,0,2
112,0,3
116,0,2
120,0,2
124,0,3
128,0,3
132,0,3
136,0,3
140,0,3
144,0,3
148,0,3
152,0,3
156,0,2
160,0,2
164,0,3
168,0,3
172,0,3
176,0,2
180,0,3
184,0,2
188,0,3
192,0,3
196,0,3
200,0,3
204,0,3
208,0,3
212,0,3
216,0,3
220,0,3
224,0,3
228,0,3
232,0,3
236,0,3
240,0,2
244,0,3
248,0,2
252,0,3
256,0,3
260,0,1
264,0,0
268,0,3
272,0,3
276,0,3
280,0,3
284,0,3
288,0,3
292,0,3
296,0,3
300,0,0
304,0,2
308,0,2
312,0,2
316,0,3
320,0,3
324,0,3
328,0,3
332,0,3
336,0,3
340,0,3
344,0,2
348,0,3
352,0,3
356,0,3
360,0,3
364,0,3
368,0,3
372,0,3
376,0,3
380,0,3
384,0,3
388,0,3
392,0,3
396,0,3
400,0,3
404,0,3
408,0,3
412,0,3
416,0,3
420,0,3
424,0,3
428,0,3
432,0,3
436,0,2
440,0,3
444,0,3
448,0,3
452,0,3
456,0,3
460,0,3
464,0,3
468,0,3
472,0,3
476,0,2
480,0,3
484,0,2
488,0,3
492,0,2
496,0,1
500,0,2
504,0,2
508,0,2
512,0,3
516,0,2
520,0,1
524,0,2
528,0,3
532,0,3
536,0,3
540,0,3
544,0,3
548,0,3
552,0,3
556,0,3
560,0,3
564,0,2
