index,duration,total_builds
8,0,7
16,0,7
24,0,7
32,0,7
40,0,7
48,0,7
56,0,7
64,0,7
72,0,7
80,0,7
88,0,7
96,0,7
104,0,7
112,0,7
120,0,7
128,0,7
136,0,7
144,0,7
152,0,7
160,0,7
168,0,7
176,0,7
184,0,7
192,0,7
200,0,7
208,0,7
216,0,7
224,0,7
232,0,7
240,0,7
248,0,7
256,0,7
264,0,7
272,0,7
280,0,7
288,0,7
296,0,7
304,0,7
312,0,7
320,0,7
328,0,7
336,0,7
344,0,7
352,0,7
360,0,7
368,0,7
376,0,7
384,0,7
392,0,7
400,0,7
408,0,7
416,0,7
424,0,7
432,0,7
440,0,7
448,0,7
456,0,7
464,0,7
472,0,7
480,0,7
488,0,7
496,0,7
504,0,7
512,0,7
520,0,7
528,0,7
536,0,7
544,0,7
552,0,7
560,0,7
568,0,7
576,0,7
584,0,7
592,0,7
600,0,7
608,0,7
616,0,7
624,0,7
632,0,7
640,0,7
648,0,7
656,0,7
664,0,7
672,0,7
680,0,7
688,0,7
696,0,7
704,0,7
712,0,7
720,0,7
728,0,7
736,0,7
744,0,7
752,0,7
760,0,7
768,0,7
776,0,7
784,0,7
792,0,7
800,0,7
808,0,7
816,0,7
824,0,7
832,0,7
840,0,7
848,0,7
856,0,7
864,0,7
872,0,7
880,0,7
888,0,7
896,0,7
904,0,7
912,0,7
920,0,7
928,0,7
936,0,7
944,0,7
952,0,7
960,0,7
968,0,7
976,0,7
984,0,7
992,0,7
1000,0,7
1008,0,7
1016,0,7
1024,0,7
1032,0,7
1040,0,7
1048,0,7
1056,0,7
1064,0,7
1072,0,7
1080,0,7
1088,0,7
1096,0,7
1104,0,7
1112,0,7
1120,0,7
1128,0,7
1136,0,7
1144,0,7
1152,0,7
1160,0,7
1168,0,7
1176,0,7
1184,0,7
1192,0,7
1200,0,7
1208,0,7
1216,0,7
1224,0,7
1232,0,7
1240,0,7
1248,0,7
1256,0,7
1264,0,7
1272,0,7
1280,0,7
1288,0,7
1296,0,7
1304,0,7
1312,0,7
1320,0,7
1328,0,7
1336,0,7
1344,0,7
1352,0,7
1360,0,7
1368,0,7
1376,0,7
1384,0,7
1392,0,7
1400,0,7
1408,0,7
1416,0,7
1424,0,7
1432,0,7
1440,0,7
1448,0,7
1456,0,7
1464,0,7
1472,0,7
1480,0,7
1488,0,7
1496,0,7
1504,0,7
