,project,algorithm,batch_size,update_method,factor,num_of_builds,builds_saved,testall_size
0,junit-team-junit5.csv,BATCHBISECT,-1,linear,1,503,66.66666666666666,1509
1,junit-team-junit5.csv,BATCHBISECT,-1,linear,2,531,64.81113320079523,1509
2,junit-team-junit5.csv,BATCHBISECT,-1,linear,3,530,64.87740225314778,1509
3,junit-team-junit5.csv,BATCHBISECT,-1,linear,4,532,64.74486414844267,1509
4,junit-team-junit5.csv,BATCHSTOP4,-1,linear,1,487,67.72697150430749,1509
5,junit-team-junit5.csv,BATCHSTOP4,-1,linear,2,505,66.53412856196157,1509
6,junit-team-junit5.csv,BATCHSTOP4,-1,linear,3,506,66.46785950960901,1509
7,junit-team-junit5.csv,BATCHSTOP4,-1,linear,4,498,66.99801192842942,1509
8,junit-team-junit5.csv,BATCHDIVIDE4,-1,linear,1,653,56.726308813783966,1509
9,junit-team-junit5.csv,BATCHDIVIDE4,-1,linear,2,669,55.66600397614314,1509
10,junit-team-junit5.csv,BATCHDIVIDE4,-1,linear,3,668,55.73227302849569,1509
11,junit-team-junit5.csv,BATCHDIVIDE4,-1,linear,4,657,56.461232604373755,1509
12,junit-team-junit5.csv,BATCHBISECT,-1,exponential,2,522,65.4075546719682,1509
13,junit-team-junit5.csv,BATCHBISECT,-1,exponential,3,535,64.54605699138503,1509
14,junit-team-junit5.csv,BATCHBISECT,-1,exponential,4,506,66.46785950960901,1509
15,junit-team-junit5.csv,BATCHSTOP4,-1,exponential,2,502,66.73293571901922,1509
16,junit-team-junit5.csv,BATCHSTOP4,-1,exponential,3,489,67.5944333996024,1509
17,junit-team-junit5.csv,BATCHSTOP4,-1,exponential,4,486,67.79324055666004,1509
18,junit-team-junit5.csv,BATCHDIVIDE4,-1,exponential,2,656,56.52750165672631,1509
19,junit-team-junit5.csv,BATCHDIVIDE4,-1,exponential,3,498,66.99801192842942,1509
20,junit-team-junit5.csv,BATCHDIVIDE4,-1,exponential,4,629,58.316766070245194,1509
21,junit-team-junit5.csv,BATCHBISECT,-1,stagger,2,538,64.34724983432737,1509
22,junit-team-junit5.csv,BATCHBISECT,-1,stagger,3,514,65.93770709078859,1509
23,junit-team-junit5.csv,BATCHBISECT,-1,stagger,4,516,65.8051689860835,1509
24,junit-team-junit5.csv,BATCHSTOP4,-1,stagger,2,504,66.60039761431412,1509
25,junit-team-junit5.csv,BATCHSTOP4,-1,stagger,3,495,67.19681908548708,1509
26,junit-team-junit5.csv,BATCHSTOP4,-1,stagger,4,492,67.39562624254472,1509
27,junit-team-junit5.csv,BATCHDIVIDE4,-1,stagger,2,646,57.19019218025182,1509
28,junit-team-junit5.csv,BATCHDIVIDE4,-1,stagger,3,655,56.59377070907886,1509
29,junit-team-junit5.csv,BATCHDIVIDE4,-1,stagger,4,657,56.461232604373755,1509
30,junit-team-junit5.csv,BATCHBISECT,-1,random_linear,-1,520,65.54009277667329,1509
31,junit-team-junit5.csv,BATCHSTOP4,-1,random_linear,-1,464,69.25115970841617,1509
32,junit-team-junit5.csv,BATCHDIVIDE4,-1,random_linear,-1,561,62.82306163021869,1509
33,junit-team-junit5.csv,BATCHBISECT,-1,random_exponential,-1,519,65.60636182902584,1509
34,junit-team-junit5.csv,BATCHSTOP4,-1,random_exponential,-1,500,66.86547382372433,1509
35,junit-team-junit5.csv,BATCHDIVIDE4,-1,random_exponential,-1,567,62.42544731610338,1509
36,junit-team-junit5.csv,BATCHBISECT,-1,random_random,-1,536,64.47978793903246,1509
37,junit-team-junit5.csv,BATCHSTOP4,-1,random_random,-1,506,66.46785950960901,1509
38,junit-team-junit5.csv,BATCHDIVIDE4,-1,random_random,-1,661,56.19615639496355,1509
39,ratpack-ratpack.csv,BATCHBISECT,-1,linear,1,1568,5.314009661835755,1656
40,ratpack-ratpack.csv,BATCHBISECT,-1,linear,2,1614,2.536231884057969,1656
41,ratpack-ratpack.csv,BATCHBISECT,-1,linear,3,1648,0.4830917874396192,1656
42,ratpack-ratpack.csv,BATCHBISECT,-1,linear,4,1692,-2.173913043478265,1656
43,ratpack-ratpack.csv,BATCHSTOP4,-1,linear,1,1349,18.538647342995162,1656
44,ratpack-ratpack.csv,BATCHSTOP4,-1,linear,2,1354,18.236714975845416,1656
45,ratpack-ratpack.csv,BATCHSTOP4,-1,linear,3,1474,10.990338164251213,1656
46,ratpack-ratpack.csv,BATCHSTOP4,-1,linear,4,1445,12.741545893719803,1656
47,ratpack-ratpack.csv,BATCHDIVIDE4,-1,linear,1,1357,18.055555555555557,1656
48,ratpack-ratpack.csv,BATCHDIVIDE4,-1,linear,2,1371,17.210144927536234,1656
49,ratpack-ratpack.csv,BATCHDIVIDE4,-1,linear,3,1476,10.869565217391298,1656
50,ratpack-ratpack.csv,BATCHDIVIDE4,-1,linear,4,1437,13.224637681159422,1656
51,ratpack-ratpack.csv,BATCHBISECT,-1,exponential,2,1608,2.898550724637687,1656
52,ratpack-ratpack.csv,BATCHBISECT,-1,exponential,3,1644,0.7246376811594217,1656
53,ratpack-ratpack.csv,BATCHBISECT,-1,exponential,4,1715,-3.562801932367151,1656
54,ratpack-ratpack.csv,BATCHSTOP4,-1,exponential,2,1482,10.507246376811594,1656
55,ratpack-ratpack.csv,BATCHSTOP4,-1,exponential,3,1388,16.183574879227052,1656
56,ratpack-ratpack.csv,BATCHSTOP4,-1,exponential,4,1585,4.287439613526573,1656
57,ratpack-ratpack.csv,BATCHDIVIDE4,-1,exponential,2,1492,9.903381642512073,1656
58,ratpack-ratpack.csv,BATCHDIVIDE4,-1,exponential,3,1388,16.183574879227052,1656
59,ratpack-ratpack.csv,BATCHDIVIDE4,-1,exponential,4,1600,3.381642512077292,1656
60,ratpack-ratpack.csv,BATCHBISECT,-1,stagger,2,1619,2.2342995169082087,1656
61,ratpack-ratpack.csv,BATCHBISECT,-1,stagger,3,1653,0.18115942028985899,1656
62,ratpack-ratpack.csv,BATCHBISECT,-1,stagger,4,1699,-2.5966183574879267,1656
63,ratpack-ratpack.csv,BATCHSTOP4,-1,stagger,2,1455,12.137681159420296,1656
64,ratpack-ratpack.csv,BATCHSTOP4,-1,stagger,3,1433,13.466183574879224,1656
65,ratpack-ratpack.csv,BATCHSTOP4,-1,stagger,4,1543,6.823671497584542,1656
66,ratpack-ratpack.csv,BATCHDIVIDE4,-1,stagger,2,1463,11.654589371980677,1656
67,ratpack-ratpack.csv,BATCHDIVIDE4,-1,stagger,3,1442,12.922705314009661,1656
68,ratpack-ratpack.csv,BATCHDIVIDE4,-1,stagger,4,1556,6.038647342995162,1656
69,ratpack-ratpack.csv,BATCHBISECT,-1,random_linear,-1,1765,-6.582125603864739,1656
70,ratpack-ratpack.csv,BATCHSTOP4,-1,random_linear,-1,1499,9.480676328502412,1656
71,ratpack-ratpack.csv,BATCHDIVIDE4,-1,random_linear,-1,1524,7.971014492753625,1656
72,ratpack-ratpack.csv,BATCHBISECT,-1,random_exponential,-1,1697,-2.4758454106280254,1656
73,ratpack-ratpack.csv,BATCHSTOP4,-1,random_exponential,-1,1477,10.809178743961354,1656
74,ratpack-ratpack.csv,BATCHDIVIDE4,-1,random_exponential,-1,1475,10.929951690821255,1656
75,ratpack-ratpack.csv,BATCHBISECT,-1,random_random,-1,1735,-4.770531400966178,1656
76,ratpack-ratpack.csv,BATCHSTOP4,-1,random_random,-1,1480,10.628019323671495,1656
77,ratpack-ratpack.csv,BATCHDIVIDE4,-1,random_random,-1,1520,8.212560386473427,1656
78,p6spy-p6spy.csv,BATCHBISECT,-1,linear,1,750,18.122270742358083,916
